x,estimate,min90,max90
-5,-0.04844403972940208,-0.08602938376964281,-0.010858695689161348
-4,-0.03775871275762816,-0.06720785307874619,-0.008309572436510131
-3,-0.02757164529880099,-0.049197245855681665,-0.005946044741920311
-2,-0.017882837352920573,-0.03199460055061221,-0.003771074155228942
-1,-0.00869228891998691,-0.015596691177400647,-0.001787886662573174
0,0.0,0.0,0.0
1,0.008194029407040159,0.001588746023297202,0.014799312790783115
2,0.015889799301133566,0.002974155882136153,0.028805442720130976
3,0.02308730968228022,0.004151641045425269,0.042022978319135165
4,0.02978656055048012,0.005116178699267573,0.054456942401692666
5,0.035987551905733266,0.005862266138713195,0.06611283767275333
6,0.041690283748039667,0.006383870491089384,0.07699669700498996
7,0.046894756077399305,0.006674373457939371,0.08711513869685925
8,0.0516009688938122,0.0067265108099418686,0.09647542697768254
9,0.05580892219727834,0.006532306447871394,0.10508553794668529
10,0.05951861598779772,0.00608300096268035,0.1129542310129151
11,0.06273005026537035,0.005368974801098686,0.120091125729642
12,0.06544322502999624,0.004379666383603556,0.1265067836763889
13,0.06765814028167538,0.0031034858445123104,0.13221279471883846
14,0.06937479602040775,0.0015277254850933342,0.13722186655572216
15,0.07059319224619336,-0.00036153143547476563,0.14154791592786148
16,0.07131332895903224,-0.002579501289213873,0.14520615920727836
17,0.07153520615892436,-0.005142786983534084,0.14821319930138283
18,0.07125882384586973,-0.008069457218413872,0.15058710491015334
19,0.07048418201986834,-0.011379113155665324,0.15234747719540198
20,0.0692112806809202,-0.015092936560291162,0.15351549792213154
21,0.06744011982902531,-0.01923371255285683,0.15411395221090746
22,0.06517069946418365,-0.023825819408916038,0.15416721833728333
23,0.06240301958639527,-0.02889517753813023,0.15370121671092077
24,0.05913708019566011,-0.03446915008309574,0.15274331047441597
25,0.05537288129197823,-0.04057638871176092,0.15132215129571738
26,0.05111042287534959,-0.047246620315554044,0.14946746606625322
27,0.046349704945774145,-0.05451037355093921,0.1472097834424875
28,0.04109072750325199,-0.0623986484004551,0.1445801034069591
29,0.03533349054778309,-0.07094253689670814,0.14160951799227434
30,0.029077994079367397,-0.08017280833928404,0.13832879649801882
31,0.022324238098005017,-0.09011947704251673,0.13476795323852675
32,0.01507222260369584,-0.10081137410141884,0.1309558193088105
33,0.007321947596439893,-0.11227574615122361,0.12691964134410338
34,-0.00092658692376274,-0.12453790317546004,0.12268472932793456
35,-0.00967338095691217,-0.13762093403640038,0.11827417212257604
